,Manufacturer,Year,Kilometers_Driven,Location,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,Maruti,10,72000,Mumbai,CNG,Manual,First,26.6,998,58.16,5,1750
1,Hyundai,5,41000,Pune,Diesel,Manual,First,19.67,1582,126.2,5,11000
2,Honda,9,46000,Chennai,Petrol,Manual,First,18.2,1199,88.7,5,4500
3,Maruti,8,87000,Chennai,Diesel,Manual,First,20.77,1248,88.76,7,6000
4,Audi,7,40670,Coimbatore,Diesel,Automatic,Second,15.2,1968,140.8,5,17740
5,Hyundai,8,75000,Hyderabad,LPG,Manual,First,21.1,814,55.2,5,2350
6,Nissan,7,86999,Jaipur,Diesel,Manual,First,23.08,1461,63.1,5,3500
7,Toyota,4,36000,Mumbai,Diesel,Automatic,First,11.36,2755,171.5,8,17500
8,Volkswagen,7,64430,Pune,Diesel,Manual,First,20.54,1598,103.6,5,5200
9,Tata,8,65932,Chennai,Diesel,Manual,Second,22.3,1248,74,5,1950
10,Maruti,2,25692,Kochi,Petrol,Manual,First,21.56,1462,103.25,5,9950
11,Honda,8,60000,Kolkata,Petrol,Automatic,First,16.8,1497,116.3,5,4490
12,Maruti,5,64424,Jaipur,Diesel,Manual,First,25.2,1248,74,5,5600
13,Land,6,72000,Delhi,Diesel,Automatic,First,12.7,2179,187.7,5,27000
14,Land,8,85000,Pune,Diesel,Automatic,Second,18.13658965,2179,115,5,17500
15,Mitsubishi,6,110000,Delhi,Diesel,Manual,First,13.5,2477,175.56,7,15000
16,Honda,4,58950,Kochi,Diesel,Manual,First,25.8,1498,98.6,5,5400
17,Maruti,3,25000,Jaipur,Diesel,Manual,First,28.4,1248,74,5,5990
18,Renault,6,77469,Kochi,Diesel,Manual,First,20.45,1461,83.8,5,6340
19,Mercedes-Benz,6,78500,Bangalore,Diesel,Automatic,First,14.84,2143,167.62,5,28000
20,BMW,6,32982,Kochi,Diesel,Automatic,First,22.69,1995,190,5,18550
21,Maruti,5,55392,Bangalore,Diesel,Manual,Second,23.65,1248,88.5,5,8250
22,Audi,5,55985,Mumbai,Petrol,Automatic,First,13.53,1984,177.01,5,23500
23,Hyundai,10,45807,Kolkata,Petrol,Manual,First,18.5,1197,80,5,1870
24,Volkswagen,10,33000,Kolkata,Petrol,Automatic,First,14.4,1598,103.6,5,2850
25,Honda,8,51920,Mumbai,Petrol,Manual,First,16.8,1497,116.3,5,4250
26,Nissan,8,54000,Hyderabad,Diesel,Manual,First,23.08,1461,63.1,5,4250
27,Maruti,7,54000,Hyderabad,Petrol,Manual,Second,20.92,998,67.1,5,2750
28,Honda,2,37430,Kochi,Petrol,Manual,First,17.5,1199,88.7,5,9900
29,Toyota,13,262000,Mumbai,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4000
30,Renault,7,62000,Bangalore,Diesel,Manual,First,19.01,1461,108.45,5,7750
31,Toyota,8,87615,Delhi,Petrol,Manual,First,14.53,1798,138.1,5,6750
32,Mahindra,7,72000,Bangalore,Diesel,Automatic,Second,11.18,2696,184,7,12500
33,Audi,10,35000,Kolkata,Diesel,Automatic,First,12.4,2698,179.5,5,11500
34,Volkswagen,6,55431,Coimbatore,Petrol,Manual,Second,16.09,1598,103.5,5,6980
35,Maruti,11,83816,Jaipur,Petrol,Manual,Second,14,1061,64,5,1850
36,Maruti,2,50075,Kochi,Diesel,Manual,First,24.3,1248,88.5,5,8630
37,Mahindra,3,52000,Delhi,Petrol,Manual,First,18.15,1198,82,5,4850
38,Mercedes-Benz,7,85000,Pune,Diesel,Automatic,First,11.74,2987,254.8,5,28000
39,Volkswagen,7,62000,Chennai,Diesel,Manual,First,22.07,1199,73.9,5,5000
40,Maruti,12,90000,Delhi,Petrol,Manual,Second,19.7,796,46.3,5,1250
41,Tata,6,19698,Kochi,Petrol,Manual,First,25.4,624,37.5,4,1530
42,Mahindra,3,22033,Coimbatore,Diesel,Manual,First,25.32,1198,77,6,5580
43,Hyundai,6,35487,Kochi,Petrol,Manual,First,18.5,1197,82.9,5,4740
44,Hyundai,6,46374,Bangalore,Petrol,Automatic,First,14.62,1999,149.92,5,8850
45,Toyota,4,52001,Mumbai,Petrol,Automatic,First,14.28,1798,138.03,5,10110
46,Hyundai,12,58005,Ahmedabad,Diesel,Manual,Second,14.9,1991,112.2,5,4250
47,Toyota,8,70704,Bangalore,Petrol,Manual,First,11.25,2694,163.7,7,10950
48,Hyundai,6,75000,Jaipur,Diesel,Manual,First,24.4,1120,71,5,3850
49,Mahindra,8,75800,Jaipur,Diesel,Manual,Second,16.55,2498,105,6,5500
50,Audi,5,13648,Kochi,Diesel,Automatic,First,17.11,1968,174.33,5,21430
51,Maruti,6,52000,Delhi,Diesel,Manual,First,22.9,1248,74,5,4250
52,Maruti,6,53000,Kolkata,Diesel,Manual,First,17.8,1248,75,5,3300
53,Maruti,7,65650,Delhi,Diesel,Manual,First,28.4,1248,74,5,3850
54,Hyundai,5,54000,Chennai,Petrol,Manual,Third,18.9,1197,82,5,3600
55,Volkswagen,5,39000,Kolkata,Petrol,Manual,First,15.04,1598,103.2,5,3990
56,Renault,3,16542,Kochi,Petrol,Manual,First,25.17,799,53.3,5,3300
57,Hyundai,10,32000,Kolkata,Petrol,Manual,First,20.36,1197,78.9,5,2070
58,Nissan,10,121812,Hyderabad,Diesel,Automatic,First,13.29,1995,147.6,5,7750
59,Maruti,10,39300,Hyderabad,Petrol,Manual,First,18.2,998,67.1,5,2250
60,Toyota,3,22000,Mumbai,Diesel,Manual,First,13.68,2393,147.8,8,16500
61,Ford,10,72000,Bangalore,Diesel,Manual,First,20,1399,68,5,2750
62,Mercedes-Benz,5,58000,Delhi,Petrol,Automatic,First,11.74,1796,186,5,26700
63,Mercedes-Benz,9,65000,Pune,Diesel,Manual,Second,15.8,2148,170,5,10000
64,Tata,4,178000,Chennai,Diesel,Manual,First,25,1396,69,5,2500
65,Audi,8,65664,Jaipur,Diesel,Automatic,First,16.55,1968,140,5,13500
66,Honda,13,63000,Mumbai,Petrol,Automatic,Second,16.4,1497,78,5,1850
67,Mercedes-Benz,1,15369,Coimbatore,Diesel,Automatic,First,18.13658965,1950,194,5,35670
68,Maruti,4,63000,Pune,Diesel,Manual,First,24.52,1248,88.5,7,8150
69,Hyundai,2,13000,Mumbai,Diesel,Manual,First,22.1,1396,88.7,5,10500
70,Porsche,12,73000,Mumbai,Petrol,Automatic,First,8.5,4806,500,5,14500
71,Mahindra,5,55729,Mumbai,Diesel,Manual,First,15.1,2179,140,7,9650
72,Hyundai,8,45178,Kochi,Petrol,Automatic,First,16.95,1197,78.9,5,3480
73,Nissan,5,56066,Kochi,Diesel,Manual,First,19.64,1461,108.5,5,6920
74,Honda,4,37300,Coimbatore,Petrol,Automatic,Second,16.5,1198,86.8,5,6460
75,Audi,6,56000,Delhi,Diesel,Automatic,Second,18.53,1968,187.74,5,29500
76,Ford,12,111111,Jaipur,Diesel,Manual,First,17.8,1399,113.2530497,5,2000
77,Toyota,14,230000,Chennai,Petrol,Manual,Third,12.4,1998,132,8,4500
78,Toyota,8,104000,Hyderabad,Diesel,Manual,First,12.8,2494,102,7,11750
79,Hyundai,15,87591,Hyderabad,Petrol,Manual,First,18.13658965,1086,113.2530497,5,1300
80,Maruti,8,95100,Jaipur,Diesel,Manual,First,22.9,1248,74,5,3750
81,Tata,3,70000,Pune,Petrol,Manual,First,17.57,1193,88.7,5,4500
82,Honda,4,54944,Kochi,Petrol,Manual,First,18,1198,86.7,5,4820
83,Ford,8,70337,Hyderabad,Diesel,Manual,First,20,1399,68,5,2800
84,Maruti,7,99638,Jaipur,Diesel,Manual,First,23.2,1248,73.94,5,3110
85,Honda,11,52000,Delhi,Petrol,Manual,First,17.8,1497,117.3,5,3250
86,BMW,9,75000,Delhi,Diesel,Automatic,Second,16.73,1995,218,5,13900
87,Hyundai,11,95980,Pune,Petrol,Manual,First,20.36,1197,78.9,5,2250
88,Hyundai,4,16000,Bangalore,Petrol,Manual,First,18.9,1197,82,5,5750
89,Hyundai,13,73745,Hyderabad,Petrol,Manual,First,17,1086,113.2530497,5,2100
90,Honda,4,18949,Mumbai,Petrol,Manual,First,17.8,1198,86.7,5,5000
91,Toyota,6,107000,Delhi,Diesel,Manual,First,13,2982,168.5,7,16500
92,Audi,2,48367,Coimbatore,Diesel,Automatic,First,17.68,1968,174.33,5,39580
93,Ford,7,57000,Delhi,Diesel,Manual,First,22.7,1498,89.84,5,5500
94,Mahindra,6,58000,Delhi,Diesel,Manual,First,15.1,2179,140,7,8100
95,Honda,5,30000,Kolkata,Diesel,Manual,First,25.8,1498,98.6,5,3500
96,Volkswagen,7,34212,Kolkata,Diesel,Manual,First,22.07,1199,73.9,5,2790
97,Hyundai,10,70002,Ahmedabad,Diesel,Manual,First,16.2,1493,110,5,3450
98,Maruti,4,62000,Bangalore,Petrol,Manual,First,18.9,998,67.1,5,4450
99,Volkswagen,10,62001,Delhi,Petrol,Manual,First,15.26,1598,103.5,5,2650
100,Hyundai,9,78958,Pune,Diesel,Manual,Second,23,1396,90,5,3800
101,Hyundai,6,30180,Mumbai,Petrol,Manual,First,18.5,1197,82.85,5,4650
102,Datsun,3,32851,Pune,Petrol,Manual,First,19.83,1198,67,7,3950
103,Audi,10,30000,Kolkata,Diesel,Automatic,First,14.94,2967,241.4,5,9800
104,Hyundai,11,66000,Pune,Petrol,Manual,Second,17,1197,80,5,2700
105,Maruti,10,93850,Coimbatore,Petrol,Manual,First,14,796,35,5,2410
106,Toyota,6,53000,Ahmedabad,Petrol,Manual,First,17.71,1197,78.9,5,3900
107,Jaguar,9,78000,Hyderabad,Diesel,Automatic,Second,14.74,2993,270.9,5,24000
108,Mahindra,8,65000,Delhi,Diesel,Manual,Second,16,2179,140,7,5750
109,Hyundai,6,40000,Kolkata,Diesel,Automatic,First,22.32,1582,126.32,5,5250
110,Toyota,3,30000,Mumbai,Diesel,Automatic,First,11.36,2755,171.5,7,19250
111,Maruti,3,38053,Coimbatore,Petrol,Manual,First,15.1,1196,73,5,3910
112,Tata,6,25500,Bangalore,Petrol,Manual,First,25.4,624,37.5,4,2150
113,BMW,5,56087,Mumbai,Diesel,Automatic,First,22.69,1995,190,5,20750
114,Honda,10,71088,Delhi,Petrol,Manual,First,13.5,1799,130,5,3350
115,Toyota,6,55000,Ahmedabad,Diesel,Manual,First,12.99,2494,100.6,7,11110
116,Volvo,6,32700,Bangalore,Diesel,Automatic,First,23.3,1984,150,5,20000
117,Nissan,4,39882,Coimbatore,Petrol,Automatic,First,19.15,1198,75.94,5,6550
118,BMW,11,128000,Mumbai,Petrol,Automatic,First,10.8,2497,215,5,7000
119,Maruti,4,55000,Mumbai,Diesel,Manual,First,24.3,1248,88.5,5,7500
120,Hyundai,15,102000,Mumbai,Petrol,Manual,Second,17,1086,113.2530497,5,850
121,Mercedes-Benz,6,53753,Pune,Diesel,Automatic,Second,15,2143,107.3,5,16750
122,Hyundai,2,10250,Kolkata,Diesel,Manual,First,22,1582,126.2,5,10950
123,Maruti,9,43874,Pune,Petrol,Manual,First,18.9,998,67.1,5,2450
124,Tata,3,32684,Coimbatore,Petrol,Automatic,First,21.9,624,37.48,4,3230
125,Mahindra,6,42000,Kolkata,Diesel,Manual,First,12.05,2179,120,8,7750
126,Mercedes-Benz,11,28352,Kolkata,Petrol,Automatic,First,11.7,1796,178,5,9350
127,Maruti,7,89900,Pune,CNG,Manual,First,26.6,998,58.16,5,3250
128,Honda,13,47700,Bangalore,Petrol,Manual,Second,10.8,2354,152,5,5250
129,Volkswagen,5,55000,Pune,Diesel,Automatic,First,21.21,1498,103.2,5,7250
130,Maruti,3,44285,Kochi,Petrol,Manual,First,20.73,1373,91.1,5,7470
131,Mahindra,4,54000,Jaipur,Diesel,Automatic,First,16,2179,140,7,13250
132,Maruti,4,30232,Coimbatore,Petrol,Manual,First,21.1,1197,85.8,5,5810
133,Maruti,6,88500,Hyderabad,Petrol,Manual,First,24.07,998,67.1,5,2600
134,Mercedes-Benz,3,13372,Kolkata,Petrol,Automatic,First,19,2996,362.07,2,54000
135,Hyundai,1,12645,Kochi,Petrol,Automatic,First,17,1591,121.3,5,11500
136,Maruti,10,94385,Chennai,Petrol,Manual,Second,19.7,796,46.3,5,1600
137,BMW,5,31821,Coimbatore,Diesel,Automatic,First,20.58,1995,143,5,17220
138,Honda,5,12000,Mumbai,Petrol,Automatic,First,19,1199,88.7,5,6000
139,Honda,8,88578,Delhi,Petrol,Manual,First,13.5,1799,130,5,3950
140,Mercedes-Benz,6,44965,Kochi,Diesel,Automatic,First,19.27,2143,170,5,17950
141,Honda,6,45044,Kolkata,Diesel,Manual,First,25.8,1498,98.6,5,3700
142,Maruti,4,34204,Kochi,Petrol,Manual,First,22,1197,81.8,5,5430
143,Hyundai,12,80759,Kochi,Petrol,Manual,Third,17,1086,113.2530497,5,1670
144,Toyota,8,91235,Coimbatore,Diesel,Manual,First,11.5,2982,171,7,13490
145,Chevrolet,6,38800,Pune,Petrol,Manual,First,18.6,1199,76.8,5,2850
146,Skoda,7,83000,Chennai,Diesel,Manual,First,21.14,1498,103.52,5,4750
147,Maruti,2,41283,Kochi,Petrol,Manual,First,20.73,1373,91.1,5,9900
148,Audi,7,23000,Mumbai,Petrol,Automatic,First,11.05,2894,444,4,37000
149,BMW,6,48000,Mumbai,Diesel,Automatic,First,21.76,1995,190,5,26500
150,Audi,5,48214,Coimbatore,Diesel,Automatic,First,17.11,1968,174.33,5,23320
151,Maruti,4,35000,Chennai,Diesel,Manual,First,22.9,1248,74,5,6250
152,Mercedes-Benz,10,35277,Kolkata,Petrol,Automatic,First,7.81,5461,362.9,5,30000
153,Skoda,4,54620,Coimbatore,Diesel,Automatic,First,21.66,1498,103.52,5,9860
154,Skoda,8,136997,Pune,Diesel,Automatic,First,17.2,1968,138.1,5,8500
155,Hyundai,1,14322,Kochi,Petrol,Manual,First,21.1,814,55.2,5,4230
156,Volkswagen,8,65634,Jaipur,Diesel,Manual,First,22.07,1199,73.9,5,3500
157,Datsun,4,6000,Kolkata,Petrol,Manual,First,20.63,1198,67.06,5,2500
158,Honda,7,33280,Kolkata,Petrol,Manual,First,19.4,1198,86.8,5,2390
159,Mercedes-Benz,7,29000,Delhi,Petrol,Automatic,First,14.8,1595,120.7,5,11250
160,Honda,5,42831,Kochi,Diesel,Manual,First,26,1498,98.6,5,7110
161,Toyota,4,90000,Ahmedabad,Diesel,Manual,First,12.99,2494,100.6,7,10900
162,Maruti,3,24005,Ahmedabad,Petrol,Manual,First,20.4,1197,81.8,5,6200
163,Mahindra,8,32792,Mumbai,Diesel,Manual,First,15.1,2179,140,7,7900
164,Ford,6,147898,Kochi,Diesel,Manual,First,22.7,1498,89.84,5,4420
165,Toyota,8,131765,Mumbai,Diesel,Manual,First,13,2982,168.5,7,13500
166,Volkswagen,7,65000,Chennai,Diesel,Automatic,First,21.5,1498,108.5,5,6250
167,Ford,10,66123,Jaipur,Diesel,Manual,Second,20,1399,68,5,2100
168,BMW,5,41000,Mumbai,Diesel,Automatic,First,15.3,2993,258,5,45000
169,Mercedes-Benz,3,23550,Coimbatore,Diesel,Automatic,First,19.27,2143,167.62,5,33660
170,Honda,8,45000,Bangalore,Petrol,Manual,Second,19.4,1198,86.8,5,3650
171,Hyundai,7,60000,Delhi,Petrol,Manual,First,20.36,1197,78.9,5,2750
172,Mercedes-Benz,4,44414,Bangalore,Diesel,Automatic,First,17.9,2143,170,5,42500
173,Hyundai,1,1000,Kolkata,Petrol,Manual,First,18.9,1197,81.86,5,6500
174,Audi,8,62500,Mumbai,Diesel,Automatic,Second,17.68,1968,174.33,5,19000
175,Volkswagen,7,21000,Mumbai,Petrol,Automatic,Second,14.4,1598,103.6,5,4450
176,Mini,3,8525,Jaipur,Diesel,Automatic,Second,16.6,1998,112,5,23000
177,Hyundai,6,29000,Bangalore,Diesel,Manual,First,22.54,1396,88.73,5,8350
178,Audi,6,40000,Mumbai,Diesel,Automatic,First,17.68,1968,174.33,5,22950
179,Chevrolet,8,88000,Jaipur,Diesel,Manual,First,25.44,936,57.6,5,1500
180,Skoda,8,53537,Kochi,Petrol,Automatic,First,13.7,1798,157.75,5,6890
181,Ford,14,216000,Chennai,Diesel,Manual,Second,17.8,1399,68,5,1450
182,BMW,6,51000,Hyderabad,Diesel,Automatic,First,22.48,1995,190,5,33500
183,Chevrolet,13,118500,Jaipur,Petrol,Manual,First,12.9,1598,102.5,5,1250
184,Volkswagen,8,63000,Hyderabad,Diesel,Manual,First,22.07,1199,73.9,5,4200
185,Renault,5,25000,Mumbai,Diesel,Manual,First,19.98,1461,108.5,8,6750
186,Mercedes-Benz,6,37382,Bangalore,Diesel,Automatic,First,13,2143,201.1,5,32000
187,Maruti,3,24773,Kochi,Petrol,Manual,First,21.4,1197,83.1,5,7500
188,Hyundai,8,62000,Delhi,Diesel,Manual,First,22.32,1582,126.32,5,4600
189,Hyundai,3,52340,Kochi,Petrol,Manual,First,19.81,1086,68.05,5,4040
190,Mahindra,4,56739,Kochi,Diesel,Manual,First,15.4,1997,120,7,10310
191,Land,2,36091,Coimbatore,Diesel,Automatic,First,12.7,2179,187.7,5,55760
192,Ford,10,120000,Chennai,Diesel,Manual,First,20,1399,68,5,2600
193,Maruti,4,33000,Mumbai,Diesel,Manual,First,25.47,1248,88.5,7,8500
194,Honda,13,60006,Ahmedabad,Petrol,Manual,First,18.13658965,1621.27645,113.2530497,5.278735151,2950
195,Honda,6,52000,Kolkata,Diesel,Manual,First,25.8,1498,98.6,5,3500
196,Hyundai,5,43571,Jaipur,Petrol,Manual,First,20.36,1197,78.9,5,3550
197,Honda,7,50000,Kolkata,Diesel,Manual,First,25.8,1498,98.6,5,3250
198,Skoda,12,113000,Hyderabad,Diesel,Manual,First,17.5,1896,106,5,4500
199,Renault,6,90000,Delhi,Diesel,Manual,First,19.87,1461,83.8,5,5350
200,Mahindra,3,29000,Chennai,Diesel,Manual,Second,17.45,1493,100,7,6500
201,Maruti,4,20000,Mumbai,Diesel,Manual,First,24.3,1248,88.5,5,9000
202,Hyundai,4,61012,Kochi,Petrol,Manual,First,18.6,1197,81.83,5,6000
203,Skoda,11,87459,Jaipur,Petrol,Manual,First,14.7,1390,85,5,2750
204,Tata,10,70500,Pune,Petrol,Manual,First,15.64,1193,64.1,5,1500
205,Audi,5,64103,Delhi,Diesel,Automatic,First,15.73,1968,174.33,5,19900
206,Skoda,6,76000,Mumbai,Petrol,Automatic,First,14.7,1798,177.5,5,10000
207,Toyota,6,104000,Delhi,Diesel,Manual,First,23.59,1364,67.06,5,3000
208,Maruti,10,42001,Kolkata,Petrol,Manual,First,16.1,1621.27645,113.2530497,5.278735151,2110
209,Mercedes-Benz,6,37245,Kochi,Petrol,Automatic,First,14.8,1595,120.7,5,11960
210,Honda,7,45000,Kolkata,Diesel,Manual,First,27.4,1498,98.6,5,3250
211,Hyundai,8,117837,Jaipur,Diesel,Manual,Second,22.32,1582,126.32,5,4750
212,Renault,6,30000,Mumbai,Diesel,Manual,First,20.46,1461,83.8,5,5950
213,Hyundai,5,27057,Delhi,Petrol,Manual,Second,15.29,1591,121.3,5,8150
214,Maruti,4,8500,Mumbai,Petrol,Automatic,First,20.51,998,67,5,4220
215,Mercedes-Benz,10,30500,Kolkata,Petrol,Automatic,First,11.74,1796,186,5,10500
216,Audi,8,56000,Delhi,Diesel,Automatic,First,11.8,2967,246.7,5,45000
217,Hyundai,8,44000,Pune,Petrol,Manual,Second,19.81,1086,68.05,5,2900
218,Skoda,3,10500,Mumbai,Petrol,Automatic,First,14.3,1598,103.52,5,8900
219,Skoda,3,26000,Hyderabad,Petrol,Automatic,First,14.67,1798,177.46,5,26000
220,Hyundai,2,25166,Coimbatore,Petrol,Manual,First,17.19,1197,81.86,5,8220
221,Honda,6,64000,Kolkata,Diesel,Manual,Second,25.8,1498,98.6,5,3500
222,Maruti,16,61000,Chennai,Petrol,Manual,Second,18.9,998,67.1,5,1250
223,Mahindra,7,107000,Hyderabad,Diesel,Manual,First,21.03,1461,65,5,3700
224,Mercedes-Benz,2,29161,Coimbatore,Diesel,Automatic,First,19.27,2143,167.62,5,39410
225,Maruti,7,32000,Kolkata,Petrol,Manual,First,22.5,998,67.04,5,2650
226,Nissan,5,46173,Coimbatore,Diesel,Manual,Second,19.01,1461,108.5,5,8920
227,Maruti,7,47000,Delhi,Diesel,Manual,First,17.8,1248,113.2530497,5,4100
228,Mini,3,26327,Kochi,Petrol,Automatic,First,16.82,1998,189.08,4,35670
229,Ford,5,70436,Bangalore,Diesel,Manual,First,18.13658965,1498,99,5.278735151,3600
230,Tata,13,200000,Jaipur,Diesel,Manual,Second,17.2,1396,53.5,5,850
231,Chevrolet,4,60813,Kochi,Petrol,Manual,Second,18.6,1199,76.8,5,3320
232,Volkswagen,8,45000,Mumbai,Diesel,Manual,First,22.07,1199,73.9,5,3600
233,Maruti,4,64000,Hyderabad,Diesel,Manual,First,22.9,1248,74,5,6800
234,Ford,8,41284,Kolkata,Diesel,Manual,First,20,1399,68.05,5,2500
235,Toyota,1,14165,Kochi,Diesel,Automatic,First,11.36,2755,171.5,7,19640
236,Hyundai,9,67000,Mumbai,Diesel,Automatic,Second,11.72,2199,194.3,7,7000
237,Honda,9,32572,Kolkata,Petrol,Manual,First,17.4,1497,117.3,5,3870
238,Hyundai,2,14960,Kochi,Petrol,Manual,First,18.6,1197,81.83,5,6270
239,Mercedes-Benz,5,55980,Kochi,Diesel,Automatic,First,19.27,2143,167.62,5,18120
240,Chevrolet,7,74000,Mumbai,Diesel,Manual,First,25.44,936,57.6,5,2650
241,Hyundai,5,56847,Kochi,Diesel,Manual,First,22.54,1396,88.73,5,7200
242,Toyota,5,121374,Coimbatore,Diesel,Manual,First,12.99,2494,100.6,7,14300
243,Maruti,7,52000,Chennai,Diesel,Manual,First,20.77,1248,88.76,7,6900
244,Toyota,6,118000,Mumbai,Diesel,Manual,First,12.8,2494,102,7,10750
245,Hyundai,13,72000,Mumbai,Petrol,Manual,Third,17,1086,113.2530497,5,950
246,Honda,4,33915,Kochi,Petrol,Manual,First,17.8,1497,117.3,5,8090
247,BMW,6,82002,Ahmedabad,Diesel,Automatic,First,17.05,1995,184,5,18500
